name,inhoud,image,Review
Skechers Oak Canyon wandelschoenen,"Geschreven bij Skechers Oak Canyon wandelschoenen grijs - Maat 44
Schoenen lopen lekker, maar het woordje 'waterafstotend' is een lachertje. Dus voor mooi weer zijn ze prima.De reden dat mijn man deze koos was juist omdat ze waterafstotend zouden zijn. Maar je kan er niet eens mee door vochtig gras lopen. Na mail contract met Scapino kwamen we niet verder.",https://media.s-bol.com/pkWVqKkMoQ6V/550x371.jpg,['1']
Skechers ARCH-FIT DISCOVER-ELEVATION G dames sneakers,"Geschreven bij Skechers Arch Fit Discover Elevation G Dames Laarzen - Zwart/Blauw - Maat 40
Een fijne en goed steungevende schoen om mee in het bos te wandelen. Wel een maat kleiner moeten bestellen, ze vallen ruim een maat groter uit. Gelukkig werd deze de volgende dag bezorgd net voor vertrek.",https://media.s-bol.com/r5X2PDx1mBXw/GmyQOy/550x444.jpg,['5']
Skechers ARCH-FIT DISCOVER-ELEVATION G dames sneakers,"Geschreven bij Skechers Arch Fit Discover Elevation G Dames Laarzen - Zwart/Blauw - Maat 38
Fijne lichte wandelschoenen met prima pasvorm",https://media.s-bol.com/r5X2PDx1mBXw/GmyQOy/550x444.jpg,['5']
Skechers Trego - Base Camp Dames Wandelschoenen,"Geschreven bij Skechers Hiking Trego Base Camp wandelschoenen bruin - Maat 38
Zijn dan, voor mij, totaal geen sexy schoenen.  Maar ohh, wat zitten ze heerlijk! Super stevig, goed aansluitend om de voeten en enkels. Gewoon mijn eigen maat genomen en zit dus als gegoten. Voel me stoer en staan best leuk onder een spijkerbroek of sportieve joggingbroek. Loopt bovendien echt fijn. Gelijk in de regen een wandeling van 1 uur gemaakt.  Geen spijt!!",https://media.s-bol.com/j6xA4g58Dy14/YENjE2/550x469.jpg,['5']
Skechers Trego - Base Camp Dames Wandelschoenen,"Geschreven bij Skechers Hiking Trego Base Camp wandelschoenen bruin - Maat 40
Stevige wandelschoen, leuke kleuren, zachte zool, geen pijnlijke voeten, vallen wel ruim uit in schoenmaat. Heb dan ook een paar moeten retourneren wegens te groot zijnde.",https://media.s-bol.com/j6xA4g58Dy14/YENjE2/550x469.jpg,['5']
Skechers Trego - Base Camp Dames Wandelschoenen,"Geschreven bij Skechers Hiking Trego Base Camp wandelschoenen bruin - Maat 38
Ze zitten lekker en zijn gemakkelijk aan te trekken",https://media.s-bol.com/j6xA4g58Dy14/YENjE2/550x469.jpg,['5']
Skechers Trego - Base Camp Dames Wandelschoenen,"Geschreven bij Skechers Trego - Base Camp Dames Wandelschoenen - Kaki - Maat 39
Lopen en zitten goed, maar als je door nat gras loopt heb je kletsnatte voeten, ik heb de leverancier gemaild en die zegt dat mag omdat ze niet waterdicht zijn",https://media.s-bol.com/j6xA4g58Dy14/YENjE2/550x469.jpg,['5']
Skechers Trego - Base Camp Dames Wandelschoenen,Licht,https://media.s-bol.com/j6xA4g58Dy14/YENjE2/550x469.jpg,['5']
Skechers Trego - Base Camp Dames Wandelschoenen,"Geschreven bij Skechers Hiking Trego Base Camp wandelschoenen bruin - Maat 39
Brede voeten en halluxtenen passen er goed in. Steunzolen ook. Maar ik heb wel halve maat groter besteld omdat mijn ene voet groter is dan de andere. De veters zijn heel sterk en kan je stevig strak krijgen. Ik loop veel met de hond door zompige blubber en ze zijn waterdicht gebleken. Ik vind de schoenen mooi en trendy. Ik zou graag volgend jaar een versie willen met zachte wollige voering voor warmere wintervoeten",https://media.s-bol.com/j6xA4g58Dy14/YENjE2/550x469.jpg,['5']
Columbia TRAILSTORM Wandelschoenen Dames,"Geschreven bij Columbia TRAILSTORM WATERPROOF Wandelschoenen Dames - Graphite, Dolph - Maat 37
Fijne wandelschoen, let op bij tenen wel vrij smal",https://media.s-bol.com/RXGpo1xKRAnw/0PB3N5/550x346.jpg,['5']
Skechers Hillcrest Wandelschoenen - Zwart,Hele fijne schoenen. Ik heb ze al een jaar en ze lopen nog perfect. Prijs-kwaliteit is super! Aanrader !,https://media.s-bol.com/x77JpKmjDlmJ/9QLEZV4/550x309.jpg,['5']
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 41,"Geschreven bij Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 45
Lang gezocht naar schoenen met een brede pasvorm en heb die met deze gevonden. Vooral de teenruimte is een verademing.",https://media.s-bol.com/xlBlRL7woNYE/550x352.jpg,['5']
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 41,"Geschreven bij Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42
Hele fijne wandelschoenen met brede pasvorm. Ik heb ze niet in hoeven lopen ze zaten meteen goed. Het herenmodel heeft een bredere pasvorm daarom heb ik hier voor gekozen.Helaas liet bij de vierde wandeling er een haakje los waar de veter om heen moet. Ik heb dit gemeld en kreeg heel snel antwoord. Ik krijg een paar nieuwe schoenen. Nu wist ik niet wat ik moest verwachten maar dit is boven verwachting. Dit is topservice !Dank jullie wel ToExplore.",https://media.s-bol.com/xlBlRL7woNYE/550x352.jpg,['5']
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 41,"Geschreven bij Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43
fijne pasvorm, mooi materiaal",https://media.s-bol.com/xlBlRL7woNYE/550x352.jpg,['5']
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 41,"Geschreven bij Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 43
Perfecte pasvorm en lopen lekker",https://media.s-bol.com/xlBlRL7woNYE/550x352.jpg,['5']
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 41,"Geschreven bij Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42
Goede keus",https://media.s-bol.com/xlBlRL7woNYE/550x352.jpg,['5']
Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 41,"Geschreven bij Travelin' Nyborg - Hoge Heren wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 43
Goeie wandelschoenen, zitten perfect. Reeds een aantal wandelingen mee gedaan intussen, enkel positieve ervaringen.",https://media.s-bol.com/xlBlRL7woNYE/550x352.jpg,['5']
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 38
Goeie stevige wandelschoen. Met ondersteuning waar het hoort. Eerste keer erop lopen is even wennen maar de schoen gaat daarna naar je voeten zitten",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,['4']
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Black - Maat 38
Best raar, op reviews afgaan bij Bol voor wandelschoenen?  Achja, het ik lockdown, dus beholpen allemaal, wie niet waagt ... etc. Maar wauw, wat zitten ze lekker! Ik heb ze dagelijks naar m'n werk aan,(staand, wandelend beroep, 0 blaren gehad) Ik ben een vrouw, maat 38 en ondanks dat het 'echte mannenkleding' is, zitten ze als gegoten. Daarnet blokkie om in de sneeuw, je glijdt niet uit, stevige grip, fijne zool, goede steun, kortom, echt een aanwinst!",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,['4']
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Black - Maat 41
Ik wandel al 4 jaren op de Grisport Sherpa en ik vind het de fijnste wandelschoen ever. Ik loop gemiddeld per tocht 20 tot 30 km per dag en dan vaak ook nog meerdere dagen achter elkaar met overnachtingen. Ik heb een nieuw paar aangeschaft nadat mijn eerste paar na 4 jaren was versleten. De Grisport Sherpa is een lompe, maar zeer goede en degelijke wandelschoen die zeer lang mee gaat. Ook loop ik er nooit geen blaren in.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,['4']
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 43
zeer goede schoenenik ben namelijk aan mijn heup geoperreed.en ze vonden de schoenen heel goed voor mijn voeten .heelgoed zelfs.ik zou zeggen voor om te wandelen,en heel goed voorje voeten 'kies voor deze schoenen.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,['4']
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 44
Ik heb deze wandelschoenen aangeschaft omdat ik zeer goede ervaring heb met de werkschoenen van Grisport. Ik heb ze nu een tijdje maar ik vind ze niet lekker lopen. Alleen op bospaden zijn ze wel oke. Maar als ik van het station naar mijn werk loop, vind ik ze te stug. Ook zijn ze niet voldoende antislip. Op put deksels en in het station glij ik weg met de schoen. Ik had ze beter verwacht als ik kijk naar de beoordelingen.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,['4']
Grisport Sherpa Wandelschoenen Unisex,"Dit zijn toffe wandelschoenen. Ik wandel in bossen, langs de kust of door het buitengebied van ons dorp. Heb nog geen ervaring met extreme regen of diepe plassen. Wel oppassen op gladde stoepen of wegen, dan hebben ze weinig grip.",https://media.s-bol.com/7zOYYO7xvR8y/6Qo69l/550x509.jpg,['4']
Jack Wolfskin Vojo 3 Texapore Low Wandelschoenen Dames,"Geschreven bij Jack Wolfskin Vojo 3 Texapore Low Wandelschoenen Dames - Maat 42
Maat 42 komt niet in de buurt van een maat 42, voor een maat 41 zit die al niet ruim",https://media.s-bol.com/qZ3WYx0nEJwD/550x374.jpg,['1']
Grisport Sherpa Wandelschoenen Unisex,"Geschreven bij Grisport Sherpa Wandelschoenen Unisex - Brown - Maat 39
Dit zijn toffe wandelschoenen. Ik wandel in bossen, langs de kust of door het buitengebied van ons dorp. Heb nog geen ervaring met extreme regen of diepe plassen. Wel oppassen op gladde stoepen of wegen, dan hebben ze weinig grip.",https://media.s-bol.com/mZZlnznYLLp0/550x385.jpg,['4']
Travelin' Nyborg - Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 40,"Geschreven bij Travelin' Nyborg - Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 42
Stevige en fijn zittende schoen",https://media.s-bol.com/q2rVRXDEg1J7/550x293.jpg,['5']
Travelin' Nyborg - Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 40,"Geschreven bij Travelin' Nyborg - Dames wandelschoenen - Waterdicht en ademend - Grijs Leer - Maat 42
Goede pasvorm hiel mag iets smaller",https://media.s-bol.com/q2rVRXDEg1J7/550x293.jpg,['5']
Travelin' Nyborg - Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 40,"Geschreven bij Travelin' Nyborg - Dames wandelschoenen - Waterdicht en ademend - Bruin Leer - Maat 39
Schoen is perfect maar valt klein.Maat 39 net een half maatje te klein.",https://media.s-bol.com/q2rVRXDEg1J7/550x293.jpg,['5']
Jack Wolfskin Vojo 3 Texapore Mid Wandelschoenen Dames,"stevige schoen,valtwel klein",https://media.s-bol.com/Y7YgLKXM5nnY/550x464.jpg,['5']
Grisport Wandelschoenen Unisex,"Geschreven bij Grisport Oregon Mid Wandelschoenen Unisex - Blue - Maat 46
superfijne schoen. heel handige veter-vastzetter. veters kunnen haast niet onder het wandelen loskomen",https://media.s-bol.com/Pr30jDpE5X94/q78Rx9R/550x356.jpg,['5']
The North Face M HEDGEHOG FASTPACK WP (EU) Wandelschoenen Mannen,"Geschreven bij The North Face M HEDGEHOG FASTPACK WP (EU) Wandelschoenen Mannen - Maat 46
Ik heb al jaren wandelschoenen van The North face en die bevallen uitstekend. Ze zijn licht aan de voeten, waterdicht en geschikt voor ruw terrein. En gaan lang mee.",https://media.s-bol.com/qAlEg0KAZG67/r0r3L9K/550x245.jpg,['5']
Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen,"Geschreven bij Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen - Blauw - Maat 44
Dit zijn echt prima wandelschoenen. Geweldige vering, genoeg stevigheid, goed ademend, lekker licht.",https://media.s-bol.com/mZQpNYA69g33/550x416.jpg,['5']
Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen,"Geschreven bij Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen - Grijs - Maat 46
Deze Skechers zijn veel steviger als andere Sketchers. Je hebt veel meer steun aan je voeten. Waardoor je er heerlijk mee kunt wandelen. En deze waren nog 20 euro goedkoper als de blauwe variant. Mooi mee genomen.",https://media.s-bol.com/mZQpNYA69g33/550x416.jpg,['5']
Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen,"Geschreven bij Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen - Zwart - Maat 42
comfortabele wandelschoen, stevig, lichtgewicht en waterdicht",https://media.s-bol.com/mZQpNYA69g33/550x416.jpg,['5']
Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen,"Geschreven bij Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen - Zwart - Maat 45
Lichte en comfortabele wandelschoen. Stylish ook. Zitten wat ruim, dus zeker géén laat groter nemen. Waterdicht bewezen!",https://media.s-bol.com/mZQpNYA69g33/550x416.jpg,['5']
Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen,"Geschreven bij Skechers Escape Plan 2.0 Ashwick Heren Wandelschoenen - Blauw - Maat 42
Het blijft toch balen als de schoenen een paar dagen later ruim €25.00 zijn afgeprijsd. Verder prima schoen.",https://media.s-bol.com/mZQpNYA69g33/550x416.jpg,['5']
The North Face W HEDGEHOG FASTPACK WP (EU) Wandelschoenen,"Geschreven bij The North Face W HEDGEHOG FASTPACK WP (EU) Dames Wandelschoenen - Maat 39
Fijne lichte schoen, wel 1 maat groter besteld dan dat ik normaal heb ivm uitzetten voeten",https://media.s-bol.com/q5XVp9MnN323/6QNB7N/550x378.jpg,['5']
Kjelvik leren dames wandelschoenen categorie B - Blauw - Uitneembare zool,"Geschreven bij Kjelvik dames wandelschoenen categorie B - Blauw - Maat 40 - Uitneembare zool
De prijs van de op 23 maart gekochte schoenen was 84,94 en de prijs werd op 29 maart gewijzigd in 69,94. Op de website: de onderste kleur is wit, maar wat ik heb ontvangen is grijs. Ik heb 2 cadeaubonnen gebruikt, dus ik kan de schoenen niet retourneren",https://media.s-bol.com/RnBvQVq2ZgyR/xg1M0r/550x475.jpg,['2']
Travelin' Aborg - Dames Wandelschoenen - Waterdicht en ademend - Donkergrijs leer - Maat 43,"Geschreven bij Travelin' Aborg - Dames Wandelschoenen - Waterdicht en ademend - Lichtgrijs leer - Maat 39
Heel aangenaam om het dragen ,en mooie wandelingen te doen in de bergen van Spanje",https://media.s-bol.com/gMpwOG1xBLjY/089J195/550x414.jpg,['5']
